level_mm,volume_litres
0.0,0.0
400.0,241154.0
800.0,499317.0
1200.0,764315.0
1600.0,1033851.0
2000.0,1306813.0
2400.0,1582537.0
2800.0,1860578.0
3200.0,2140620.0
3600.0,2422421.0
4000.0,2705796.0
4400.0,2990593.0
4800.0,3276690.0
5200.0,3563982.0
5600.0,3852383.0
6000.0,4141816.0
6400.0,4432217.0
6800.0,4723527.0
7200.0,5015695.0
7600.0,5308677.0
8000.0,5602431.0
8400.0,5896920.0
8800.0,6192112.0
9200.0,6487976.0
9600.0,6784484.0
10000.0,7081610.0
10400.0,7379331.0
10800.0,7677626.0
11200.0,7976474.0
11600.0,8275855.0
12000.0,8575754.0
12400.0,8876153.0
12800.0,9177037.0
13200.0,9478391.0
13600.0,9780203.0
14000.0,10082459.0
14400.0,10385146.0
14800.0,10688255.0
15200.0,10991774.0
15600.0,11295692.0
16000.0,11600000.0
